pedido_id,status,valor_centavos,atualizado_em,ingested_at
PED-0001,criado,15000,2026-06-01T10:00:00,2026-06-01T10:05:00
PED-0001,pago,15000,2026-06-01T11:00:00,2026-06-01T11:05:00
PED-0001,enviado,15000,2026-06-02T09:00:00,2026-06-02T09:05:00
PED-0002,criado,8000,2026-06-01T12:00:00,2026-06-01T12:05:00
PED-0002,pago,8000,2026-06-01T13:00:00,2026-06-01T13:05:00
PED-0002,pago,8000,2026-06-01T13:00:00,2026-06-14T03:00:00
PED-0003,criado,22000,2026-06-03T08:00:00,2026-06-03T08:05:00
PED-0003,pago,22000,2026-06-03T09:30:00,2026-06-03T09:35:00
PED-0003,enviado,22000,2026-06-04T14:00:00,2026-06-04T14:05:00
PED-0003,entregue,22000,2026-06-06T16:00:00,2026-06-06T16:05:00
PED-0004,criado,12000,2026-06-05T11:00:00,2026-06-05T11:05:00
PED-0004,pago,12000,2026-06-05T11:45:00,2026-06-05T11:50:00
PED-0004,pago,12000,2026-06-05T11:45:00,2026-06-14T03:00:00
PED-0005,criado,30000,2026-06-08T09:00:00,2026-06-08T09:05:00
PED-0005,cancelado,30000,2026-06-08T10:00:00,2026-06-08T10:05:00
PED-0006,criado,20000,2026-06-10T15:00:00,2026-06-10T15:05:00
PED-0006,pago,20000,2026-06-10T16:00:00,2026-06-10T16:05:00
